@RELATION nis

@ATTRIBUTE newsId string
@ATTRIBUTE interval NUMERIC
@ATTRIBUTE count NUMERIC


@DATA
ajay-singh-back-as-spicejet-s-promoter,4.185653846153847,26
akshay-kumar-begins-shooting-for-airlift,9.899236619718309,355
akshay-kumar-to-not-charge-money-for-airlift,18.681,4
al-qaeda-kills-27-houthis-in-yemen,11.979000000000001,1
al-shabaab-leader-killed-in-strike-pentagon,8.116233850129195,774
alam-challenges-govt-to-hold-referendum-on-j-amp-amp-k,9.809210884353748,147
alan-turing-s-family-to-demand-pardon-for-49-000,9.346161434977562,669
alaska-3rd-us-state-to-legalize-marijuana,4.857555555555556,27
ali-zafar-and-wife-ayesha-blessed-with-daughter,11.450386479591833,1568
alia-sidharth-fawad-in-ram-lakhan-remake,8.668323939202013,3158
alia-to-play-hockey-player-in-udta-punjab,8.276909628378375,1184
alibaba-to-invest-200-mn-in-snapchat-source,3.5046249999999985,64
all-are-dna-wise-hindu-in-india-rss,6.97773943661972,142
alonso-out-of-hospital-to-miss-final-test,4.630152173913046,46
always-bollywood-over-hollywood-for-big-b-aamir,8.272637931034483,58
amartya-sen-withdraws-from-nalanda-university,6.0403875,80
amazed-by-rekha-s-grace-warmth-katrina-kaif,8.30263043478261,46
amazon-posts-214-mn-quarterly-profit,2.717,1
amazon-to-invest-rs-1-155-crore-in-indian-arm,6.054205882352941,34
america-s-first-indian-lesbian-wedding,6.13665,20
amitabh-bachchan-named-timeless-fashion-icon,6.418637630662022,287
amul-to-invest-rs-5-000-cr-in-next-three-years,6.472797468354431,79
andhra-s-new-capital-may-be-named-as-amaravathi,10.958034002590662,3088
andhra-to-remove-telangana-word-from-books,12.407249999999998,12
andrew-garfield-is-no-longer-spider-man,1.056,2
anil-ambani-now-into-defence-manufacturing,3.5639999999999996,1
anil-kakodkar-quits-iit-bombay-board,10.074294064748182,7784
anil-kapoor-s-look-in-dil-dhadakne-do-revealed,5.536,5
animals-also-enjoy-music-like-humans-research,4.169079999999999,50
anna-accuses-pm-of-misleading-farmers,5.14344041867955,1242
anna-attacks-modi-govt-s-land-ordinance,5.543792356687896,785
anna-calls-for-jail-bharo-andolan,5.659730560578667,553
anna-hazare-a-foreign-agent-bjp-magazine,6.0256823529411765,425
anna-hazare-calls-for-amp-lsquo-jail-bharo-andolan-amp-rsquo,6.545922818791952,596
anna-hazare-gets-death-threats-from-canada,8.940733491686427,2105
anna-hazare-to-meet-arvind-kejriwal-today,4.388615107913667,278
anna-hazare-to-protest-at-jantar-mantar,2.7117027027027025,37
anna-hazare-to-share-stage-with-arvind-kejriwal,7.94010686015829,3032
anna-s-platform-is-more-political-now-vk-singh,8.246795870206492,1695
anna-welcomes-kejriwal-s-support,8.454623371496243,2533
another-arvind-kejriwal-audiotape-surfaces,6.1906194029850745,134
another-asaram-prosecution-case-witness-attacked,0.647,1
another-hindu-temple-vandalised-in-the-us,9.60948981077145,1374
answer-papers-of-a-up-univ-sold-to-scrap-dealer,9.221774038461538,1456
anupam-makes-debut-for-georgian-club,5.775467091295116,471
anushka-admits-her-relationship-with-virat-kolhi,9.496545454545457,44
anushka-sharma-s-nh-10-earns-rs-7-85cr-in-2-days,7.274748826291076,426
app-to-clean-books-for-readers,5.7684113712374625,299
app-to-help-find-out-who-are-your-real-friends,1.841,2
apple-becomes-world-s-top-smartphone-vendor,2.6133333333333333,3
apple-emoji-go-racially-diverse,8.647855072463768,69
apple-phones-become-dearer-in-india,8.5385,2
apple-s-itunes-app-store-suffers-unusual-outage,6.294528000000001,125
apple-s-next-iphone-may-be-pink,6.725860465116278,215
apple-sued-for-hiring-battery-engineers,7.742209125475288,263
apple-told-to-pay-533-mn-for-patent-violation,6.258010638297876,94
apple-watch-might-replace-need-for-car-keys,7.832756157635472,406
apple-watches-to-start-from-349,13.291071428571428,14
appointing-manjhi-as-cm-was-a-mistake-nitish,6.014655172413793,29
ar-rahman-s-music-band-debuts-at-gima,4.430575757575758,66
archbishop-blames-modi-in-nun-gangrape-case,6.8581209150326785,1836
argentina-prez-cristina-fernandez-case-dismissed,4.636637795275594,635
arjun-kapoor-to-play-a-dacoit-in-boney-s-next,10.077,2
arjun-kapoor-to-play-former-cricketer-kapil-dev,5.406579831932773,119
arjun-rampal-rubbishes-divorce-reports,5.7416470588235295,17
armed-forces-facing-shortage-of-11k-officers,6.0686134228188005,1490
armed-forces-facing-shortage-of-52k-personnel,5.930986078886312,431
armed-robbers-steal-9-5mn-of-jewels-in-france,3.9199,30
army-widow-becomes-battle-ready-officer,7.094293565683647,746
arnold-will-return-to-terminator-franchise,5.980535714285713,56
around-7-lakh-govt-staff-go-on-leave-in-mp,9.170721311475411,61
arrest-warrant-for-bangladesh-ex-pm-khaleda-zia,4.683440000000002,50
arsenal-beat-newcastle-2-1-move-up,3.5119131121642972,633
arsenal-reach-fa-cup-quarter-finals,2.753346153846153,26
article-370-can-t-be-touched-mehbooba-mufti,2.8775,2
arun-jaitley-asks-bank-unions-to-call-off-strike,6.02179137254902,1275
arvind-kejriwal-sworn-in-as-8th-delhi-cm,3.207,1
arvind-kejriwal-was-offered-a-role-in-a-film,7.719489361702127,94
arvind-should-continue-as-aap-convenor-bhushan,43.226000000000006,1
arvind-to-join-anna-s-protest-against-land-bill,6.376269167126318,1813
arvind-tried-to-strike-a-deal-with-cong-yadav,6.993375000000001,16
as-monaco-beat-arsenal-3-1-in-champions-league,2.540391304347827,92
assam-deadly-prasad-claims-3-lives,7.573893772893774,273
assamese-student-beaten-up-in-south-delhi,8.039714285714286,14
at-amp-amp-t-to-pay-40-million-for-negligence,5.168532687651331,413
at-least-108-people-killed-in-afghan-avalanches,5.356388059701492,67
at-least-20-killed-in-twin-attacks-in-somalia,5.3069869791666635,384
